StoreName,CityName,Street Address,Longitude,Latitude,province,cityE
北京五彩城店,北京市,"海淀区, 五彩城西区首层L101号商铺, 北辰西路8号院3号楼B座",116.33,40.03,Beijing,Beijing
北京北辰西路店,北京市,"朝阳区, 北辰世纪中心首层109单元, 新源南路1号",116.39,40.0,Beijing,Beijing
北京新源南路咖啡店,北京市,"朝阳区, 1至4层101内-1层B18单元, 中关村大街15-11号A区",116.46,39.95,Beijing,Beijing
北京中关村广场西区店,北京市,"海淀区, 负一层A126、A127单元, 望京湖光中街1号",116.31,39.98,Beijing,Beijing
北京望京鹏景阁店,北京市,"朝阳区, 鹏景阁首层, 立汤路186号院",116.47,40.0,Beijing,Beijing
北京龙德广场二店,北京市,"昌平区, 1号楼02层(02)201内208单元, 霄云路38号",116.42,40.06,Beijing,Beijing
北京霄云路二店,北京市,"朝阳区, 现代汽车大厦一层, 首都机场三号航站楼A3E4",116.46,39.96,Beijing,Beijing
北京首都国际机场9店,北京市,"朝阳区, 3层, 建国门外大街 光华路1号",116.62,40.06,Beijing,Beijing
北京嘉里中心第二咖啡店,北京市,"朝阳区, 北京嘉里中心商场一层111号，2层204号, 东城区东直门南大街3号",116.46,39.91,Beijing,Beijing
北京国华投资广场咖啡店,北京市,"北京市, 国华投资一层01单元, 建国门外大街1号",116.43,39.94,Beijing,Beijing
北京国贸四店,北京市,"朝阳区, 国际贸易中心商城地下一层SB126+SB127号铺位, 东三环北路8号",116.46,39.91,Beijing,Beijing
北京亮马河大厦店,北京市,"朝阳区, 亮马大厦一层, 金融街金融中心F区",116.46,39.95,Beijing,Beijing
北京金融街金树街店,北京市,"西城区, 北京建国路112号",116.36,39.92,Beijing,Beijing
北京建国路第二咖啡店,北京市,"朝阳区, 一层B, 崇文门外大街3号",116.46,39.91,Beijing,Beijing
北京新世界店,北京市,"崇文区, 新世界商场一期首层, 宣武门外大街28号",116.42,39.9,Beijing,Beijing
北京宣武门外富卓大厦店,北京市,"西城区, 富卓大厦一层, 北京南站换乘层地铁四号线围栏外",116.38,39.89,Beijing,Beijing
北京南站第三咖啡店,北京市,"丰台区, 东北角，M与1/M轴之间、2-9与2-10轴之间, 清河营南街",116.38,39.87,Beijing,Beijing
北京清河营南街店,北京市,"朝阳区, 7号院4号楼一层126-127商铺, 复内大街101号",116.43,40.05,Beijing,Beijing
北京百盛店,北京市,"西城区, 复兴门百盛商场二期一层, 天坛东路46号",116.36,39.91,Beijing,Beijing
北京天坛东路店,北京市,"东城区, 迤北红桥市场一层, 北三环东路36号1号楼A座首层02单元",116.42,39.89,Beijing,Beijing
北京安贞环贸2店,北京市,"东城区, 南礼士路66号",116.41,39.97,Beijing,Beijing
北京建威大厦店,北京市,"西城区, 建威大厦一层, 酒仙桥路18号",116.35,39.91,Beijing,Beijing
北京颐堤港中心咖啡店,北京市,"朝阳区, 颐堤港商场L1-72号, 工人体育场北路",116.49,39.97,Beijing,Beijing
北京工体北路第二咖啡店,北京市,"朝阳区, 8号院1号楼1层1118, 西直门北大街32号院",116.45,39.93,Beijing,Beijing
北京枫蓝国际中心店,北京市,"海淀区, 1号楼一层106-2, ""西城区金融街武定候街2号 """,116.36,39.95,Beijing,Beijing
北京泰康国际大厦店,北京市,"西城区, 泰康大厦1层, 悦盛路6号院",116.36,39.92,Beijing,Beijing
北京房山悦盛路店,北京市,"房山区, 奥特莱斯F1-B06, 林翠东路2号院",116.19,39.76,Beijing,Beijing
北京奥村咖啡店,北京市,"朝阳区, 甲3号楼一层F106区域, 城南街道南口路29号",116.38,40.01,Beijing,Beijing
北京乐多港店,北京市,"昌平区, L1028, 东三环中路63号(双井桥西北侧)",116.19,40.23,Beijing,Beijing
北京富力家园店,北京市,"朝阳区, 富力大厦1层101, 三丰北里2号楼悠唐生活广场",116.46,39.9,Beijing,Beijing
北京朝外悠唐店,北京市,"朝阳区, 天竺镇丽苑街15号",116.44,39.92,Beijing,Beijing
北京顺义丽苑街咖啡店,北京市,"顺义区, 27号楼102,103单元, 首体南路9号10楼等11幢之第四幢",116.56,40.05,Beijing,Beijing
北京首体南路咖啡店,北京市,"海淀区, 地上一层大堂B/C轴与22/25轴之间, 新顺南大街11号",116.32,39.93,Beijing,Beijing
北京新顺南大街咖啡店,北京市,"顺义区, 1幢一层2单元, 建国门外大街2号",116.65,40.13,Beijing,Beijing
北京银泰店,北京市,"朝阳区, 银泰中心B1-B38&B39, 广顺南大街16号院1号楼",116.46,39.91,Beijing,Beijing
北京望京店,北京市,"朝阳区, 北京新世界利莹百货首层010760A, 天星街1号院",116.48,39.99,Beijing,Beijing
北京天星街咖啡店,北京市,"房山区, 7号楼一层, 玉泉路59号院1号楼",116.16,39.76,Beijing,Beijing
北京鲁谷远洋咖啡店,北京市,"石景山区, 远洋沁山水1层A001单元, 首都机场T3航站楼D区",116.25,39.9,Beijing,Beijing
北京首都国际机场八店,北京市,"朝阳区, 2层, 慈云寺北里",116.61,40.06,Beijing,Beijing
北京苏宁生活广场店,北京市,"朝阳区, 118号楼苏宁生活广场第一层104B, 南三环东路成寿寺路2号",116.49,39.92,Beijing,Beijing
北京成寿寺路咖啡店,北京市,"丰台区, 阳光新生活广场一层A129, 崇文门外大街5号",116.45,39.86,Beijing,Beijing
北京新世界商场二店,北京市,"东城区, 北京新世界商场青春馆地下1层010009B号, 机场辅路将台路甲2号",116.42,39.9,Beijing,Beijing
北京海润店,北京市,"朝阳区, 海润国际公寓底商1层, 西直门外大街1号",116.48,39.98,Beijing,Beijing
北京西环广场2期店,北京市,"西城区, 西区B1-45/47A号, 首都国际机场三号航站楼国际隔离区B2S13",116.35,39.94,Beijing,Beijing
北京首都国际机场6店,北京市,"顺义区, 北四环东路9号",116.61,40.08,Beijing,Beijing
北京北四环东路Ⅱ店,北京市,"朝阳区, 四元桥家乐福1层1-36a单元, 常通路",116.46,39.98,Beijing,Beijing
北京常通路第一咖啡店,北京市,"朝阳区, 1号院1号楼 1F-08/2F-08, 东长安街1号",116.6,39.93,Beijing,Beijing
北京东方广场西店,北京市,"东城区, 东方广场东方新天地商场地下一层, 黄平路19号院1号楼B单元101-02室",116.41,39.91,Beijing,Beijing
北京黄平路咖啡店,北京市,"昌平区, 西直门外大街168号",116.35,40.07,Beijing,Beijing
北京腾达大厦咖啡店,北京市,"海淀区, 腾达大厦2层210号, 首都国际机场三号航站楼国际隔离区B2W13",116.33,39.94,Beijing,Beijing
北京首都国际机场7店,北京市,"顺义区, 西单北大街131号",116.61,40.08,Beijing,Beijing
北京西单大悦城二店,北京市,"西城区, 西单大悦城101-XZL号, 朝阳区常通路",116.37,39.91,Beijing,Beijing
北京常通路第二咖啡店,北京市,"北京市, 1号院1号楼 1F-08/2F-08, 陈家营西路3号院23号楼",116.6,39.92,Beijing,Beijing
北京陈家营西路店,北京市,"昌平区, 招商嘉铭珑原商业楼, 中关村东路1号",116.4,40.04,Beijing,Beijing
